Word,Lemma_saved_factor_analysis,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
specimen,specimen,speciman,NOUN,specimen,specimen,Noun,1,Step 1: SUBTLEX-UK,specimen,False,specimen
spectra,spectrum,spectra,PROPN,spectra,spectrum,Noun,1,Step 1: SUBTLEX-UK,spectrum,False,spectrum
spelling,spelling,spell,VERB,spelling,spelling,Noun,1,Step 1: SUBTLEX-UK,spelling,False,spelling
spelt,spell,spelt,VERB,spelt,spell,Verb,1,Step 1: SUBTLEX-UK,spell,False,spell
spilt,spill,spilt,NOUN,spilt,spill,Verb,1,Step 1: SUBTLEX-UK,spill,False,spill
spirited,spirited,spirit,VERB,spirited,spirited,Adjective,1,Step 1: SUBTLEX-UK,spirited,False,spirited
spited,spit,spite,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,spit,False,spit
sprang,spring,sprang,PROPN,sprang,spring,Verb,1,Step 1: SUBTLEX-UK,spring,False,spring
spun,spin,spun,PROPN,spun,spin,Verb,1,Step 1: SUBTLEX-UK,spin,False,spin
stabilities,stability,stabilitie,VERB,,,Noun,2,Step 2: SUBTLEX-US + NLTK,stability,False,stability
stamina,stamen,stamina,NOUN,stamina,stamen,Noun,1,Step 1: SUBTLEX-UK,stamen,False,stamen
stank,stink,stank,NOUN,stank,stink,Verb,1,Step 1: SUBTLEX-UK,stink,False,stink
stewarded,steward,stewarde,VERB,stewarded,steward,,1,Step 1: SUBTLEX-UK,steward,False,steward
stewarding,steward,stewarde,VERB,stewarding,steward,,1,Step 1: SUBTLEX-UK,steward,False,steward
stigmata,stigma,stigmata,NOUN,stigmata,stigma,Noun,1,Step 1: SUBTLEX-UK,stigma,False,stigma
stolen,steal,stolen,VERB,stolen,steal,Verb,1,Step 1: SUBTLEX-UK,steal,False,steal
stridden,stride,stridden,PROPN,,,Verb,2,Step 2: SUBTLEX-US + NLTK,stride,False,stride
striped,striped,stripe,VERB,striped,striped,Adjective,1,Step 1: SUBTLEX-UK,striped,False,striped
strode,stride,strode,PROPN,strode,stride,Verb,1,Step 1: SUBTLEX-UK,stride,False,stride
strove,strive,strove,VERB,strove,strive,Verb,1,Step 1: SUBTLEX-UK,strive,False,strive
stunk,stink,stunk,VERB,stunk,stink,Verb,1,Step 1: SUBTLEX-UK,stink,False,stink
styling,style,styling,NOUN,styling,style,Noun,1,Step 1: SUBTLEX-UK,style,False,style
sung,sing,sung,PROPN,sung,sing,Verb,1,Step 1: SUBTLEX-UK,sing,False,sing
sunk,sink,sunk,VERB,sunk,sink,Verb,1,Step 1: SUBTLEX-UK,sink,False,sink
sunken,sunken,sink,VERB,sunken,sunken,Adjective,1,Step 1: SUBTLEX-UK,sunken,False,sunken
surprised,surprise,surprised,ADJ,surprised,surprise,Adjective,1,Step 1: SUBTLEX-UK,surprise,False,surprise
swam,swim,swam,VERB,swam,swim,Verb,1,Step 1: SUBTLEX-UK,swim,False,swim
swimming,swimming,swim,VERB,swimming,swimming,Noun,1,Step 1: SUBTLEX-UK,swimming,False,swimming
swinging,swing,swinge,VERB,swinging,swing,Verb,1,Step 1: SUBTLEX-UK,swing,False,swing
swum,swim,swum,ADJ,swum,swim,Verb,1,Step 1: SUBTLEX-UK,swim,False,swim
swung,swing,swung,PROPN,swung,swing,Verb,1,Step 1: SUBTLEX-UK,swing,False,swing
taming,tame,taming,NOUN,taming,tame,Verb,1,Step 1: SUBTLEX-UK,tame,False,tame
taxes,tax,taxis,NOUN,taxes,tax,Noun,1,Step 1: SUBTLEX-UK,tax,False,tax
taxis,taxi,taxis,NOUN,taxis,taxi,Noun,1,Step 1: SUBTLEX-UK,taxi,False,taxi
teed,tee,teed,VERB,teed,tee,Verb,1,Step 1: SUBTLEX-UK,tee,False,tee
teens,teens,teen,NOUN,teens,teens,Noun,1,Step 1: SUBTLEX-UK,teens,False,teens
tempting,tempting,tempt,VERB,tempting,tempting,Adjective,1,Step 1: SUBTLEX-UK,tempting,False,tempting
tensioning,tension,tensione,VERB,tensioning,tension,,1,Step 1: SUBTLEX-UK,tension,False,tension
texting,text,texte,VERB,texting,text,Verb,1,Step 1: SUBTLEX-UK,text,False,text
theses,thesis,these,VERB,theses,thesis,Noun,1,Step 1: SUBTLEX-UK,thesis,False,thesis
thuds,thud,thuds,VERB,thuds,thud,Verb,1,Step 1: SUBTLEX-UK,thud,False,thud
tieing,tie,tieing,NOUN,tieing,tie,Verb,1,Step 1: SUBTLEX-UK,tie,False,tie
timbered,timber,timbere,VERB,timbered,timber,Verb,1,Step 1: SUBTLEX-UK,timber,False,timber
tobaccos,tobacco,tobaccos,PROPN,tobaccos,tobacco,Noun,1,Step 1: SUBTLEX-UK,tobacco,False,tobacco
toileted,toilet,toilete,VERB,toileted,toilet,,1,Step 1: SUBTLEX-UK,toilet,False,toilet
tokens,token,tokens,PROPN,tokens,token,Noun,1,Step 1: SUBTLEX-UK,token,False,token
tomatoes,tomato,tomatoe,VERB,tomatoes,tomato,Noun,1,Step 1: SUBTLEX-UK,tomato,False,tomato
tonguing,tongue,tonguing,NOUN,tonguing,tongue,Verb,1,Step 1: SUBTLEX-UK,tongue,False,tongue
toped,top,tope,VERB,toped,top,,1,Step 1: SUBTLEX-UK,top,False,top
torn,tear,torn,VERB,torn,tear,Verb,1,Step 1: SUBTLEX-UK,tear,False,tear
training,training,train,VERB,training,training,Noun,1,Step 1: SUBTLEX-UK,training,False,training
transfered,transfer,transfered,ADJ,transfered,transfer,,1,Step 1: SUBTLEX-UK,transfer,False,transfer
trod,tread,trod,PROPN,trod,tread,Verb,1,Step 1: SUBTLEX-UK,tread,False,tread
troughs,trough,troughs,PROPN,troughs,trough,Noun,1,Step 1: SUBTLEX-UK,trough,False,trough
trunked,trunk,trunke,VERB,trunked,trunk,Verb,1,Step 1: SUBTLEX-UK,trunk,False,trunk
tubing,tubing,tube,VERB,tubing,tubing,Noun,1,Step 1: SUBTLEX-UK,tubing,False,tubing
tunneling,tunnel,tunneling,NOUN,tunneling,tunnel,Verb,1,Step 1: SUBTLEX-UK,tunnel,False,tunnel
tunnelling,tunnel,tunnelling,NOUN,tunnelling,tunnel,Verb,1,Step 1: SUBTLEX-UK,tunnel,False,tunnel
twos,two,twos,VERB,twos,two,Number,1,Step 1: SUBTLEX-UK,two,False,two
umpired,umpire,umpired,VERB,umpired,umpire,,1,Step 1: SUBTLEX-UK,umpire,False,umpire
vanishes,vanish,vanishe,NOUN,vanishes,vanish,Verb,1,Step 1: SUBTLEX-UK,vanish,False,vanish
vastest,vast,vastest,NOUN,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,vast,False,vast
verifies,verify,verifie,NOUN,verifies,verify,Verb,1,Step 1: SUBTLEX-UK,verify,False,verify
verifying,verify,verifying,NOUN,verifying,verify,Verb,1,Step 1: SUBTLEX-UK,verify,False,verify
wages,wages,wage,NOUN,wages,wages,Noun,1,Step 1: SUBTLEX-UK,wages,False,wages
warning,warning,warn,VERB,warning,warning,Noun,1,Step 1: SUBTLEX-UK,warning,False,warning
weariest,weary,weariest,NOUN,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,weary,False,weary
webs,web,webs,PROPN,webs,web,Noun,1,Step 1: SUBTLEX-UK,web,False,web
whereabouts,whereabouts,whereabout,NOUN,whereabouts,whereabouts,Noun,1,Step 1: SUBTLEX-UK,whereabouts,False,whereabouts
whimpering,whimper,whimpering,NOUN,whimpering,whimper,Verb,1,Step 1: SUBTLEX-UK,whimper,False,whimper
wiring,wiring,wire,VERB,wiring,wiring,Noun,1,Step 1: SUBTLEX-UK,wiring,False,wiring
withstood,withstand,withstood,NOUN,withstood,withstand,Verb,1,Step 1: SUBTLEX-UK,withstand,False,withstand
witted,wit,witte,VERB,witted,wit,,1,Step 1: SUBTLEX-UK,wit,False,wit
witting,wit,witte,VERB,witting,wit,,1,Step 1: SUBTLEX-UK,wit,False,wit
wolfs,wolf,wolfs,PROPN,wolfs,wolf,Noun,1,Step 1: SUBTLEX-UK,wolf,False,wolf
wonted,wont,wonte,VERB,wonted,wont,Adjective,1,Step 1: SUBTLEX-UK,wont,False,wont
worming,worm,worming,ADJ,worming,worm,Verb,1,Step 1: SUBTLEX-UK,worm,False,worm
worried,worry,worried,ADJ,worried,worry,Adjective,1,Step 1: SUBTLEX-UK,worry,False,worry
wove,weave,wove,NOUN,wove,weave,Verb,1,Step 1: SUBTLEX-UK,weave,False,weave
wretched,wretch,wretche,VERB,wretched,wretch,Adjective,1,Step 1: SUBTLEX-UK,wretch,False,wretch
wring,wring,wre,VERB,wring,wring,Verb,1,Step 1: SUBTLEX-UK,wring,False,wring
wringing,wring,wringing,NOUN,wringing,wring,Verb,1,Step 1: SUBTLEX-UK,wring,False,wring
wristed,wrist,wriste,VERB,wristed,wrist,,1,Step 1: SUBTLEX-UK,wrist,False,wrist
wrought,work,wrought,PROPN,wrought,work,Verb,1,Step 1: SUBTLEX-UK,work,False,work
zipped,zip,zipped,VERB,zipped,zip,Verb,1,Step 1: SUBTLEX-UK,zip,False,zip
zipping,zip,zipping,NOUN,zipping,zip,Verb,1,Step 1: SUBTLEX-UK,zip,False,zip
