index,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Sem_N_D_Taxonomic_N50,0.029,-0.01,0.002,0.014,0.003,0.01,0.92,0.068
Sem_N_D_Taxonomic_N3,0.036,-0.016,0.009,0.018,0.008,0.003,0.92,0.048
Assoc_Freq_Token123,0.005,-0.09,-0.002,-0.029,0.014,0.036,0.129,0.8
Assoc_Freq_Type,0.074,-0.092,0.001,-0.024,0.008,0.018,0.121,0.784
Assoc_Freq_Type123,0.059,-0.088,-0.004,-0.02,0.007,0.017,0.154,0.779
Assoc_Freq_Token,0.018,-0.091,-0.003,-0.034,0.014,0.033,0.097,0.779
Mink_Action_Lanc,0.154,0.242,0.019,0.062,-0.077,0.181,-0.133,0.482
Mouth_Throat_Lanc,0.039,0.175,-0.064,0.035,-0.04,-0.299,-0.165,0.475
Freqtraj_TASA,0.118,0.358,-0.045,-0.111,0.059,-0.293,0.278,-0.196
Fam_Brys,0.228,0.214,-0.017,0.032,-0.089,0.198,0.039,0.012
Prevalence_Brys,0.338,0.306,0.005,0.061,-0.098,0.162,0.071,-0.004
UnigramF_Avg_U_Log,0.015,0.047,-0.054,-0.19,0.269,-0.099,0.07,-0.028
Nmeanings_Websters,0.348,-0.135,0.028,0.002,0.026,0.043,0.156,-0.068
Head_Lanc,0.136,0.31,-0.041,-0.02,-0.091,-0.221,-0.034,0.364
Auditory_Lanc,0.106,0.185,-0.058,0.045,-0.024,-0.325,-0.071,0.259
Gustatory_Lanc,-0.056,0.052,-0.025,-0.017,0.016,0.197,-0.13,0.341
Olfactory_Lanc,-0.083,0.069,-0.027,-0.052,0.009,0.317,-0.093,0.34
Torso_Lanc,0.053,0.132,0.029,0.046,-0.028,0.158,-0.044,0.316
Foot_Leg_Lanc,0.1,0.093,0.049,0.05,-0.03,0.225,0.038,0.129
Valence_NRC,0.291,0.265,-0.024,-0.042,-0.036,0.069,0.073,-0.031
Arousal_NRC,-0.066,0.106,0.019,0.074,-0.034,-0.333,-0.063,0.228
Dominance_NRC,0.192,0.33,-0.007,-0.036,-0.007,-0.276,0.134,-0.014
Consistency_Token_FF_C,-0.057,-0.037,0.153,0.113,0.079,-0.018,0.091,-0.013
Consistency_Type_FF_C,-0.06,-0.035,0.155,0.114,0.077,-0.017,0.092,-0.01
Consistency_Token_FB_O,-0.097,-0.246,0.294,-0.006,-0.209,-0.153,0.091,0.097
Consistency_Type_FB_O,-0.098,-0.246,0.295,-0.005,-0.209,-0.151,0.09,0.097
Consistency_Type_FF_O,-0.044,-0.302,0.148,0.256,-0.17,0.01,-0.03,0.034
Consistency_Token_FF_O,-0.043,-0.302,0.148,0.257,-0.168,0.011,-0.029,0.034
ROOT1_PFMF,-0.224,0.23,-0.006,0.013,-0.023,-0.072,0.022,0.019
ROOT1_FamSize,0.216,0.147,0.083,-0.02,-0.066,0.087,0.039,0.026
ROOT1_Freq_HAL,0.378,0.122,0.03,-0.029,-0.074,-0.079,0.003,-0.079
