word,word_detected,onset,offset,story_audio,PoS
hand,hand,55.08,55.46,prettymouth,NN
and,and,55.46,55.62,prettymouth,CC
said,said,55.62,56.01,prettymouth,VBD
God,god,56.75,57.15,prettymouth,NNP
I,i,57.99,58.11,prettymouth,PRP
don't,don't,58.11,58.27,prettymouth,VBP
know,know,58.27,58.42999999999999,prettymouth,VB
I,i,58.43,58.51,prettymouth,PRP
mean,mean,58.51,58.74,prettymouth,VBP
what,what,58.79,58.95,prettymouth,WP
do,do,58.95,59.0,prettymouth,VBP
you,you,59.0,59.14,prettymouth,PRP
think,think,59.14,59.55,prettymouth,VB
The,the,60.56,60.650000000000006,prettymouth,DT
gray,gray,60.65,60.89,prettymouth,NN
haired,haired,60.89,61.12,prettymouth,VBD
man,man,61.12,61.39,prettymouth,NN
said,said,61.39,61.66,prettymouth,VBD
he,he,61.67,61.86,prettymouth,PRP
didn't,didn't,62.07,62.38,prettymouth,VBD
see,see,62.38,62.690000000000005,prettymouth,VB
that,that,62.69,62.85,prettymouth,IN
it,it,62.849999,63.019999,prettymouth,PRP
made,made,63.3,63.58,prettymouth,VBD
a,a,63.58,63.67,prettymouth,DT
hell,hell,63.67,63.89,prettymouth,NN
of,of,63.889999,63.999999,prettymouth,IN
a,a,64.0,64.1,prettymouth,DT
lot,lot,64.2,64.49000000000001,prettymouth,NN
of,of,64.49,64.64999999999999,prettymouth,IN
difference,difference,64.65,65.17,prettymouth,NN
one,one,65.17,65.35000000000001,prettymouth,CD
way,way,65.349999,65.47999899999999,prettymouth,NN
or,or,65.48,65.56,prettymouth,CC
the,the,65.559999,65.689999,prettymouth,DT
other,other,65.69,66.0,prettymouth,JJ
and,and,66.46000000000001,66.61000000000001,prettymouth,CC
slipped,slipped,66.61,66.91,prettymouth,VBD
his,his,66.91,67.09,prettymouth,PRP$
left,left,67.09,67.36,prettymouth,JJ
hand,hand,67.36,67.64,prettymouth,NN
under,under,67.65,67.86,prettymouth,IN
the,the,67.86,67.92,prettymouth,DT
girl's,girl's,67.92,68.18,prettymouth,NN
supporting,supporting,68.19,68.64999999999999,prettymouth,VBG
arm,arm,68.67,69.07000000000001,prettymouth,NN
above,above,69.349999,69.61999899999999,prettymouth,IN
the,the,69.62,69.74000000000001,prettymouth,DT
elbow,elbow,69.74,70.16,prettymouth,NN
working,working,70.41,70.77,prettymouth,VBG
his,his,70.77,70.92999999999999,prettymouth,PRP$
fingers,fingers,70.93,71.29,prettymouth,NNS
up,up,71.289999,71.47999899999999,prettymouth,RP
making,making,71.51,71.93,prettymouth,VBG
room,room,71.93,72.21000000000001,prettymouth,NN
for,for,72.209999,72.379999,prettymouth,IN
them,them,72.38,72.6,prettymouth,PRP
between,between,72.6,73.13,prettymouth,IN
the,the,73.32,73.44999999999999,prettymouth,DT
warm,warm,73.45,73.75,prettymouth,JJ
surfaces,surfaces,73.75,74.31,prettymouth,NNS
of,of,74.31,74.44,prettymouth,IN
her,her,74.44,74.66,prettymouth,PRP$
upper,upper,74.72,75.01,prettymouth,JJ
arm,arm,75.03,75.33,prettymouth,NN
and,and,75.33,75.44,prettymouth,CC
chest,chest,75.44,75.78999999999999,prettymouth,NN
wall,wall,75.79,76.36,prettymouth,NN
He,he,76.92,77.06,prettymouth,PRP
reached,reached,77.06,77.32000000000001,prettymouth,VBD
for,for,77.32,77.44,prettymouth,IN
the,the,77.44,77.53999999999999,prettymouth,DT
phone,phone,77.54,78.04,prettymouth,NN
with,with,78.09,78.26,prettymouth,IN
his,his,78.26,78.43,prettymouth,PRP$
right,right,78.43,78.66000000000001,prettymouth,JJ
hand,hand,78.66,79.0,prettymouth,NN
Hello,hello,79.96,80.41,prettymouth,NNP
he,he,81.28,81.42,prettymouth,PRP
said,said,81.42,81.63,prettymouth,VBD
resonantly,<unk>,81.639999,82.489999,prettymouth,RB
into,into,82.5,82.72,prettymouth,IN
the,the,82.719999,82.819999,prettymouth,DT
phone,phone,82.82,83.21,prettymouth,NN
The,the,83.82,83.91999999999999,prettymouth,DT
girl,girl,83.92,84.15,prettymouth,NN
stayed,stayed,84.179999,84.52999899999999,prettymouth,VBD
propped,propped,84.559999,84.92999900000001,prettymouth,VBN
up,up,84.929999,85.099999,prettymouth,RP
on,on,85.099999,85.209999,prettymouth,IN
her,her,85.21000000000001,85.33000000000001,prettymouth,PRP$
forearm,forearm,85.33,85.88,prettymouth,NN
and,and,85.88,86.1,prettymouth,CC
watched,watched,86.13,86.55,prettymouth,VBD
him,him,86.549999,86.749999,prettymouth,PRP
Her,her,87.53999999999999,87.74,prettymouth,PRP$
eyes,eyes,87.74,88.17999999999999,prettymouth,NNS
more,more,88.19999899999999,88.539999,prettymouth,RBR
just,just,88.619999,88.949999,prettymouth,RB
open,open,88.959999,89.359999,prettymouth,VB
than,than,89.359999,89.489999,prettymouth,IN
alert,alert,89.49,89.83999999999999,prettymouth,NN
or,or,89.84,89.9,prettymouth,CC
speculative,speculative,89.9,90.63,prettymouth,JJ
reflected,reflected,90.85,91.34,prettymouth,VBN
chiefly,<unk>,91.35,91.73,prettymouth,VBP
their,their,91.75,91.91,prettymouth,PRP$
own,own,91.91,92.11,prettymouth,JJ
size,size,92.11,92.46,prettymouth,NN
and,and,92.46,92.62,prettymouth,CC
color,color,92.62,92.95,prettymouth,NN
A,a,94.47,94.56,prettymouth,NNP
man's,man's,94.56,94.86,prettymouth,NN
voice,voice,94.86,95.35,prettymouth,NN
stone,stone,95.36,95.89,prettymouth,NN
dead,dead,95.89,96.24,prettymouth,JJ
yet,yet,96.24,96.57,prettymouth,RB
somehow,somehow,96.61,97.08,prettymouth,VBP
rudely,rudely,97.08,97.55,prettymouth,RB
almost,almost,97.55,97.89,prettymouth,RB
obscenely,obscenely,97.92,98.47,prettymouth,RB
quickened,<unk>,98.5,98.86,prettymouth,VBN
for,for,98.88,99.01,prettymouth,IN
the,the,99.01,99.12,prettymouth,DT
occasion,occasion,99.12,99.57,prettymouth,NN
came,came,99.57,99.79,prettymouth,VBD
through,through,99.79,100.0,prettymouth,IN
at,at,100.0,100.1,prettymouth,IN
the,the,100.099999,100.209999,prettymouth,DT
other,other,100.21,100.42,prettymouth,JJ
end,end,100.42,100.67,prettymouth,NN
Lee,lee,101.139999,101.449999,prettymouth,NNP
Did,did,101.719999,101.869999,prettymouth,NNP
I,i,101.87,101.94,prettymouth,PRP
wake,wake,101.96,102.16,prettymouth,VBP
you,you,102.16,102.35,prettymouth,PRP
The,the,103.32,103.41,prettymouth,DT
gray,gray,103.41,103.64,prettymouth,JJ
haired,haired,103.639999,103.889999,prettymouth,JJ
man,man,103.889999,104.249999,prettymouth,NN
glanced,glanced,104.509999,104.939999,prettymouth,VBD
briefly,briefly,104.95,105.38,prettymouth,NN
left,left,105.38,105.67,prettymouth,VBD
at,at,105.67,105.77,prettymouth,IN
the,the,105.77,105.83,prettymouth,DT
girl,girl,105.83,106.14,prettymouth,NN
Who's,who's,106.529999,106.759999,prettymouth,NNP
that,that,106.76,107.04,prettymouth,IN
he,he,107.34,107.52,prettymouth,PRP
asked,asked,107.52,107.8,prettymouth,VBD
Arthur,arthur,108.42,109.1,prettymouth,NNP
Y,y,109.11,109.13,prettymouth,NNP
yeah,yeah,109.59,110.05,prettymouth,NN
I,i,110.05,110.16,prettymouth,PRP
wake,wake,110.16,110.38,prettymouth,VBP
you,you,110.38,110.55,prettymouth,PRP
No,no,110.94,111.32,prettymouth,VBP
no,no,111.59,111.94,prettymouth,DT
I'm,i'm,111.94,112.09,prettymouth,NNP
in,in,112.09,112.21,prettymouth,IN
bed,bed,112.21,112.5,prettymouth,NN
reading,reading,112.5,112.83,prettymouth,NN
Anything,anything,113.51,113.88,prettymouth,NNP
wrong,wrong,113.88,114.23,prettymouth,JJ
The,the,115.09,115.28,prettymouth,DT
reason,reason,115.28,115.54,prettymouth,NN
I,i,115.54,115.6,prettymouth,PRP
called,called,115.6,115.94,prettymouth,VBD
Lee,lee,115.94,116.32,prettymouth,NNP
did,did,116.92,117.15,prettymouth,VBD
you,you,117.15,117.23,prettymouth,PRP
happen,happen,117.24,117.44,prettymouth,VB
to,to,117.44,117.51,prettymouth,TO
notice,notice,117.51,117.8,prettymouth,VB
when,when,117.8,117.96,prettymouth,WRB
Joanie,<unk>,117.969999,118.289999,prettymouth,NNP
was,was,118.29,118.47,prettymouth,VBD
leaving,leaving,118.469999,118.879999,prettymouth,VBG
Did,did,119.15,119.4,prettymouth,NNP
you,you,119.4,119.47,prettymouth,PRP
happen,happen,119.48,119.68,prettymouth,VB
to,to,119.679999,119.759999,prettymouth,TO
notice,notice,119.759999,120.089999,prettymouth,VB
if,if,120.09,120.21,prettymouth,IN
she,she,120.21,120.57,prettymouth,PRP
left,left,120.58,120.89,prettymouth,VBD
with,with,120.889999,120.989999,prettymouth,IN
the,the,120.99,121.13,prettymouth,DT
Ellenbogens,<unk>,121.139999,121.759999,prettymouth,NNS
by,by,121.79,121.98,prettymouth,IN
any,any,121.98,122.14,prettymouth,DT
chance,chance,122.139999,122.539999,prettymouth,NN
The,the,123.309999,123.409999,prettymouth,DT
gray,gray,123.41,123.63,prettymouth,JJ
haired,haired,123.63,123.84,prettymouth,JJ
man,man,123.839999,124.069999,prettymouth,NN
looked,looked,124.08,124.32,prettymouth,VBD
left,left,124.33,124.65,prettymouth,JJ
again,again,124.65,124.98,prettymouth,RB
but,but,125.549999,125.719999,prettymouth,CC
high,high,125.719999,125.989999,prettymouth,VB
this,this,125.99,126.22,prettymouth,DT
time,time,126.25,126.5,prettymouth,NN
away,away,126.5,126.75,prettymouth,RB
from,from,126.75,126.91,prettymouth,IN
the,the,126.91,127.0,prettymouth,DT
girl,girl,127.0,127.29,prettymouth,NN
who,who,127.32,127.45,prettymouth,WP
was,was,127.459999,127.649999,prettymouth,VBD
now,now,127.65,127.88,prettymouth,RB
watching,watching,127.88,128.29,prettymouth,VBG
him,him,128.29,128.44,prettymouth,PRP
rather,rather,128.44,128.71,prettymouth,RB
like,like,128.71,128.86,prettymouth,IN
a,a,128.86,128.95000000000002,prettymouth,DT
young,young,128.95,129.32,prettymouth,JJ
blue,blue,129.33,129.62,prettymouth,NN
eyed,eyed,129.62,129.8,prettymouth,VBD
Irish,irish,129.81,130.16,prettymouth,NNP
policeman,policeman,130.16,130.67,prettymouth,IN
No,no,131.68,132.1,prettymouth,NNP
I,i,132.1,132.22,prettymouth,PRP
didn't,didn't,132.22,132.52,prettymouth,VBP
Arthur,arthur,132.52,132.92000000000002,prettymouth,NNP
he,he,133.44,133.6,prettymouth,PRP
said,said,133.6,133.91,prettymouth,VBD
his,his,134.36,134.55,prettymouth,PRP$
eyes,eyes,134.55,134.81,prettymouth,NNS
on,on,134.809999,134.88999900000002,prettymouth,IN
the,the,134.889999,134.999999,prettymouth,DT
far,far,135.0,135.29,prettymouth,RB
dim,dim,135.29,135.61,prettymouth,JJ
end,end,135.66,135.93,prettymouth,NN
of,of,135.94,136.02,prettymouth,IN
the,the,136.02,136.10000000000002,prettymouth,DT
room,room,136.099999,136.459999,prettymouth,NN
where,where,136.87,137.02,prettymouth,WRB
the,the,137.02,137.10000000000002,prettymouth,DT
wall,wall,137.099999,137.349999,prettymouth,NN
met,met,137.349999,137.509999,prettymouth,VBD
the,the,137.509999,137.619999,prettymouth,DT
ceiling,ceiling,137.62,138.04,prettymouth,NN
Uh,uh,138.429999,138.53999900000002,prettymouth,NNP
didn't,didn't,138.559999,138.839999,prettymouth,VBZ
she,she,138.84,139.01,prettymouth,PRP
leave,leave,139.009999,139.219999,prettymouth,VBP
with,with,139.219999,139.339999,prettymouth,IN
you,you,139.34,139.59,prettymouth,PRP
No,no,140.139999,140.55999899999998,prettymouth,VBP
Christ,christ,140.57,141.11,prettymouth,NNP
You,you,141.69,142.11,prettymouth,PRP
didn't,didn't,142.109999,142.289999,prettymouth,VBP
see,see,142.289999,142.45999899999998,prettymouth,VB
her,her,142.459999,142.56999900000002,prettymouth,PRP$
leave,leave,142.57,142.76,prettymouth,NN
at,at,142.76,142.85,prettymouth,IN
all,all,142.85,143.01999999999998,prettymouth,DT
then,then,143.02,143.25,prettymouth,RB
W,w,143.89,143.96,prettymouth,NNP
Well,well,143.99,144.3,prettymouth,NNP
no,no,144.3,144.44,prettymouth,RB
as,as,144.74,144.92000000000002,prettymouth,IN
a,a,144.92000000000002,144.97000000000003,prettymouth,DT
matter,matter,144.97,145.19,prettymouth,NN
of,of,145.199999,145.279999,prettymouth,IN
fact,fact,145.28,145.58,prettymouth,NN
I,i,145.58,145.67000000000002,prettymouth,PRP
I,i,145.71,145.86,prettymouth,PRP
didn't,didn't,145.86,146.24,prettymouth,VBP
Arthur,arthur,146.24,146.60000000000002,prettymouth,NNP
the,the,147.27,147.36,prettymouth,DT
gray,gray,147.36,147.58,prettymouth,NN
haired,haired,147.58,147.81,prettymouth,VBD
man,man,147.81,148.02,prettymouth,NN
said,said,148.02,148.33,prettymouth,VBD
Why,why,148.63,149.03,prettymouth,WRB
What's,what's,149.06,149.28,prettymouth,NNP
up,up,149.28,149.74,prettymouth,RB
Joanie,<unk>,149.82,150.13,prettymouth,NNP
lost,lost,150.15,150.57,prettymouth,VBD
Oh,oh,151.05,151.29000000000002,prettymouth,NNP
Christ,christ,151.31,151.97,prettymouth,NNP
Who,who,152.27,152.44,prettymouth,NNP
knows,knows,152.44,152.77,prettymouth,VBZ
I,i,152.77,152.88000000000002,prettymouth,PRP
I,i,152.92,153.03,prettymouth,PRP
don't,don't,153.03,153.21,prettymouth,VBP
know,know,153.21,153.47,prettymouth,VB
You,you,154.01,154.20999999999998,prettymouth,PRP
know,know,154.21,154.39,prettymouth,VBP
her,her,154.389999,154.599999,prettymouth,PRP$
when,when,154.599999,154.799999,prettymouth,WRB
when,when,154.83,154.98000000000002,prettymouth,WRB
she,she,154.98,155.14,prettymouth,PRP
gets,gets,155.139999,155.30999899999998,prettymouth,VBZ
all,all,155.309999,155.439999,prettymouth,DT
tanked,tanked,155.44,155.86,prettymouth,VBD
up,up,155.86,156.05,prettymouth,RP
and,and,156.05,156.17000000000002,prettymouth,CC
rarin,<unk>,156.17,156.47,prettymouth,VB
to,to,156.469999,156.529999,prettymouth,TO
go,go,156.53,156.79,prettymouth,VB
I,i,156.79,156.98,prettymouth,PRP
I,i,157.03,157.29,prettymouth,PRP
don't,don't,157.29,157.47,prettymouth,VBP
know,know,157.469999,157.699999,prettymouth,VB
She,she,157.94,158.11,prettymouth,PRP
may,may,158.11,158.25,prettymouth,MD
have,have,158.25,158.36,prettymouth,VB
just,just,158.36,158.58,prettymouth,RB
You,you,159.2,159.39999999999998,prettymouth,PRP
call,call,159.4,159.67000000000002,prettymouth,VBP
the,the,159.67,159.83999999999995,prettymouth,DT
Ellenbogens,<unk>,159.839999,160.539999,prettymouth,NNP
the,the,161.190001,161.300001,prettymouth,DT
gray,gray,161.299999,161.519999,prettymouth,NN
haired,haired,161.52,161.76000000000002,prettymouth,VBD
man,man,161.76,161.97,prettymouth,NN
asked,asked,161.969999,162.279999,prettymouth,VBD
Yeah,yeah,162.64,162.95,prettymouth,NNP
yeah,yeah,162.95,163.22,prettymouth,NNP
They're,they're,163.22,163.3,prettymouth,NNP
not,not,163.309999,163.499999,prettymouth,RB
home,home,163.5,163.73,prettymouth,NN
yet,yet,163.73,163.98,prettymouth,RB
I,i,164.42,164.58999999999995,prettymouth,PRP
don't,don't,164.59,164.77,prettymouth,VBP
know,know,164.77,164.97,prettymouth,JJ
Christ,christ,164.98,165.64999999999998,prettymouth,NNP
I'm,i'm,165.85,166.01,prettymouth,NNP
not,not,166.01,166.14999999999998,prettymouth,RB
even,even,166.15,166.34,prettymouth,RB
sure,sure,166.34,166.61,prettymouth,JJ
she,she,166.61,166.81,prettymouth,PRP
left,left,166.81,167.1,prettymouth,VBD
with,with,167.1,167.22,prettymouth,IN
them,them,167.22,167.5,prettymouth,PRP
I,i,168.15,168.26000000000002,prettymouth,PRP
know,know,168.26,168.42999999999998,prettymouth,VBP
one,one,168.43,168.68,prettymouth,CD
thing,thing,168.68,168.94,prettymouth,NN
I,i,168.94,169.01,prettymouth,PRP
know,know,169.01,169.17,prettymouth,VBP
one,one,169.17,169.42,prettymouth,CD
goddamn,goddamn,169.44,170.02,prettymouth,JJ
thing,thing,170.02,170.26000000000002,prettymouth,NN
I'm,i'm,170.26,170.45,prettymouth,NNP
through,through,170.47,170.8,prettymouth,IN
beating,beating,170.82,171.03,prettymouth,VBG
my,my,171.05,171.24,prettymouth,PRP$
brains,brains,171.24,171.64,prettymouth,NNS
out,out,171.639999,171.799999,prettymouth,RP
I,i,171.8,171.9,prettymouth,PRP
mean,mean,171.91,172.13,prettymouth,VBP
it,it,172.13,172.26999999999998,prettymouth,PRP
I,i,172.27,172.4,prettymouth,PRP
I,i,172.679999,172.819999,prettymouth,PRP
really,really,172.82,173.06,prettymouth,RB
mean,mean,173.059999,173.199999,prettymouth,VB
it,it,173.2,173.29999999999998,prettymouth,PRP
this,this,173.3,173.48000000000002,prettymouth,DT
time,time,173.5,173.76,prettymouth,NN
I'm,i'm,173.759999,173.869999,prettymouth,NNP
through,through,173.87,174.3,prettymouth,IN
Five,five,174.63,174.87,prettymouth,CD
years,years,174.88,175.24,prettymouth,NNS
Christ,christ,175.24,175.86,prettymouth,VBP
All,all,176.17,176.32999999999998,prettymouth,RB
right,right,176.33,176.55,prettymouth,RB
all,all,176.58,176.70000000000002,prettymouth,RB
right,right,176.7,176.89999999999998,prettymouth,JJ
try,try,178.67000000000002,178.8,prettymouth,NN
to,to,178.799999,178.90999900000003,prettymouth,TO
take,take,178.91,179.1,prettymouth,VB
it,it,179.1,179.19,prettymouth,PRP
a,a,179.190001,179.210001,prettymouth,DT
little,little,179.209999,179.44999900000002,prettymouth,JJ
easy,easy,179.449999,179.67999899999998,prettymouth,JJ
now,now,179.68,179.88,prettymouth,RB
Arthur,arthur,179.879999,180.259999,prettymouth,VBP
the,the,180.97,181.06,prettymouth,DT
gray,gray,181.06,181.34,prettymouth,NN
haired,haired,181.34,181.59,prettymouth,VBD
man,man,181.59,181.85,prettymouth,NN
said,said,181.85,182.2,prettymouth,VBD
He,he,182.52,182.68,prettymouth,PRP
turned,turned,182.68,182.97,prettymouth,VBD
and,and,182.97,183.09,prettymouth,CC
gave,gave,183.1,183.38,prettymouth,VBD
the,the,183.38,183.43,prettymouth,DT
girl,girl,183.43,183.75,prettymouth,NN
a,a,183.75,183.84,prettymouth,DT
sign,sign,183.84,184.29,prettymouth,NN
with,with,184.3,184.43,prettymouth,IN
two,two,184.44,184.62,prettymouth,CD
fingers,fingers,184.62,184.97,prettymouth,NNS
near,near,184.97,185.15,prettymouth,IN
his,his,185.15,185.28,prettymouth,PRP$
mouth,mouth,185.28,185.59,prettymouth,NN
that,that,185.98,186.13,prettymouth,IN
he,he,186.13,186.2,prettymouth,PRP
wanted,wanted,186.2,186.55,prettymouth,VBD
a,a,186.55,186.62,prettymouth,DT
cigarette,cigarette,186.62,187.1,prettymouth,NN
In,in,187.71,187.82,prettymouth,IN
the,the,187.82,187.92,prettymouth,DT
first,first,187.92,188.22,prettymouth,JJ
place,place,188.22,188.6,prettymouth,NN
if,if,189.17,189.37,prettymouth,IN
I,i,189.37,189.45,prettymouth,PRP
know,know,189.45,189.65,prettymouth,VBP
the,the,189.65,189.81,prettymouth,DT
Ellenbogens,<unk>,189.809999,190.469999,prettymouth,NNP
they,they,191.16,191.39,prettymouth,PRP
probably,probably,191.389999,191.979999,prettymouth,RB
all,all,191.98,192.17,prettymouth,DT
hopped,hopped,192.17,192.48,prettymouth,VBN
in,in,192.48,192.59,prettymouth,IN
a,a,192.59,192.67,prettymouth,DT
cab,cab,192.67,193.03,prettymouth,NN
and,and,193.03,193.17,prettymouth,CC
went,went,193.17,193.38,prettymouth,VBD
down,down,193.38,193.64,prettymouth,RB
to,to,193.639999,193.729999,prettymouth,TO
the,the,193.73,193.81,prettymouth,DT
Village,village,193.809999,194.189999,prettymouth,NNP
for,for,194.19,194.33,prettymouth,IN
a,a,194.33,194.4,prettymouth,DT
couple,couple,194.4,194.68,prettymouth,NN
of,of,194.679999,194.769999,prettymouth,IN
hours,hours,194.77,195.18,prettymouth,NNS
All,all,195.219999,195.459999,prettymouth,DT
three,three,195.46,195.73,prettymouth,CD
of,of,195.73,195.88,prettymouth,IN
them'll,<unk>,195.88,196.12,prettymouth,NN
probably,probably,196.15,196.65,prettymouth,RB
barge,barge,196.65,196.99,prettymouth,NN
I,i,197.1,197.28,prettymouth,PRP
have,have,197.279999,197.469999,prettymouth,VBP
a,a,197.469999,197.559999,prettymouth,DT
feeling,feeling,197.57,197.98,prettymouth,NN
she,she,197.98,198.15,prettymouth,PRP
went,went,198.15,198.36,prettymouth,VBD
to,to,198.359999,198.469999,prettymouth,TO
work,work,198.47,198.72,prettymouth,VB
on,on,198.75,198.95,prettymouth,IN
some,some,198.95,199.27,prettymouth,DT
bastard,bastard,199.3,199.81,prettymouth,NN
in,in,199.81,199.89,prettymouth,IN
the,the,199.89,199.98,prettymouth,DT
kitchen,kitchen,199.98,200.38,prettymouth,NN
I,i,200.7,200.82,prettymouth,PRP
just,just,200.82,201.0,prettymouth,RB
have,have,201.01,201.15,prettymouth,VBP
a,a,201.15,201.2,prettymouth,DT
feeling,feeling,201.2,201.62,prettymouth,NN
She,she,202.9,203.06,prettymouth,PRP
always,always,203.06,203.28,prettymouth,RB
starts,starts,203.29,203.57,prettymouth,VBZ
necking,<unk>,203.58,203.93,prettymouth,VBG
some,some,203.94,204.17,prettymouth,DT
bastard,bastard,204.18,204.63,prettymouth,NN
in,in,204.63,204.7,prettymouth,IN
the,the,204.71,204.81,prettymouth,DT
kitchen,kitchen,204.81,205.16,prettymouth,NN
when,when,205.16,205.27,prettymouth,WRB
she,she,205.27,205.41,prettymouth,PRP
gets,gets,205.41,205.61,prettymouth,VBZ
tanked,tanked,205.63,205.93,prettymouth,VBD
up,up,205.93,206.11,prettymouth,RP
I,i,206.88,207.05,prettymouth,PRP
I'm,i'm,207.05,207.22,prettymouth,NNP
through,through,207.22,207.6,prettymouth,IN
I,i,208.219999,208.399999,prettymouth,PRP
swear,swear,208.4,208.63,prettymouth,VBP
to,to,208.63,208.71,prettymouth,TO
God,god,208.71,208.92,prettymouth,NNP
I,i,208.92,209.02,prettymouth,PRP
mean,mean,209.05,209.23,prettymouth,VBP
it,it,209.23,209.31,prettymouth,PRP
this,this,209.309999,209.479999,prettymouth,DT
time,time,209.49,209.73,prettymouth,NN
Five,five,209.74,210.09,prettymouth,CD
goddamn,goddamn,210.09,210.59,prettymouth,NN
Where,where,210.61,210.97000000000003,prettymouth,WRB
are,are,210.969999,211.059999,prettymouth,VBP
