Word,word_gentle,onset,offset,PoS,transcript,lemma,word,blankTR,onset_addblankTR,offset_addblankTR
her,her,43.44,43.57,PRP$,prettymouth,her,her,0,43.44,43.57
to,to,43.57,43.69,TO,prettymouth,to,to,0,43.57,43.69
hurry,hurry,43.69,44.06,VB,prettymouth,hurry,hurry,0,43.69,44.06
up,up,44.059999,44.239999,RP,prettymouth,up,up,0,44.059999,44.239999
and,and,44.24,44.38,CC,prettymouth,and,and,0,44.24,44.38
she,she,44.38,44.57,PRP,prettymouth,she,she,0,44.38,44.57
raised,raised,44.57,45.0,VBD,prettymouth,raised,raised,0,44.57,45.0
up,up,45.0,45.19,RB,prettymouth,up,up,0,45.0,45.19
on,on,45.19,45.33,IN,prettymouth,on,on,0,45.19,45.33
her,her,45.33,45.5,PRP$,prettymouth,her,her,0,45.33,45.5
right,right,45.5,45.77,JJ,prettymouth,right,right,0,45.5,45.77
forearm,forearm,45.77,46.35,NN,prettymouth,forearm,forearm,0,45.77,46.35
just,just,46.349999,46.599999,RB,prettymouth,just,just,0,46.349999,46.599999
quickly,quickly,46.61,47.02,RB,prettymouth,quickly,quickly,0,46.61,47.02
enough,enough,47.02,47.33,RB,prettymouth,enough,enough,0,47.02,47.33
so,so,47.77,47.94,IN,prettymouth,so,so,0,47.77,47.94
that,that,47.94,48.1,IN,prettymouth,that,that,0,47.94,48.1
the,the,48.099999,48.189999,DT,prettymouth,the,the,0,48.099999,48.189999
movement,movement,48.19,48.64,NN,prettymouth,movement,movement,0,48.19,48.64
didn't,didn't,48.639999,48.949999000000005,VBZ,prettymouth,didn't,didn't,0,48.639999,48.949999000000005
quite,quite,48.95,49.35,RB,prettymouth,quite,quite,0,48.95,49.35
look,look,49.349999,49.539999,JJ,prettymouth,look,look,0,49.349999,49.539999
perfunctory,perfunctory,49.549999,50.249999,NN,prettymouth,perfunctory,perfunctory,0,49.549999,50.249999
She,she,51.33,51.5,PRP,prettymouth,she,she,0,51.33,51.5
cleared,cleared,51.5,51.76,VBD,prettymouth,cleared,cleared,0,51.5,51.76
her,her,51.759999,51.879999,PRP,prettymouth,her,her,0,51.759999,51.879999
hair,hair,51.88,52.150000000000006,NN,prettymouth,hair,hair,0,51.88,52.150000000000006
back,back,52.15,52.49,RB,prettymouth,back,back,0,52.15,52.49
from,from,52.49,52.84,IN,prettymouth,from,from,0,52.49,52.84
her,her,52.93,53.18,PRP$,prettymouth,her,her,0,52.93,53.18
forehead,forehead,53.18,53.76,NN,prettymouth,forehead,forehead,0,53.18,53.76
with,with,53.760000000000005,53.940000000000005,IN,prettymouth,with,with,0,53.760000000000005,53.940000000000005
uh,uh,53.940001,54.10000099999999,JJ,prettymouth,uh,uh,0,53.940001,54.10000099999999
her,her,54.63,54.75,PRP$,prettymouth,her,her,0,54.63,54.75
left,left,54.75,55.08,JJ,prettymouth,left,left,0,54.75,55.08
hand,hand,55.08,55.46,NN,prettymouth,hand,hand,0,55.08,55.46
and,and,55.46,55.62,CC,prettymouth,and,and,0,55.46,55.62
said,said,55.62,56.01,VBD,prettymouth,said,said,0,55.62,56.01
God,god,56.75,57.15,NN,prettymouth,god,god,0,56.75,57.15
I,i,57.99,58.11,NN,prettymouth,i,i,0,57.99,58.11
don't,don't,58.11,58.27,VBP,prettymouth,don't,don't,0,58.11,58.27
know,know,58.27,58.42999999999999,VB,prettymouth,know,know,0,58.27,58.42999999999999
I,i,58.43,58.51,JJ,prettymouth,i,i,0,58.43,58.51
mean,mean,58.51,58.74,VBP,prettymouth,mean,mean,0,58.51,58.74
what,what,58.79,58.95,WP,prettymouth,what,what,0,58.79,58.95
do,do,58.95,59.0,VBP,prettymouth,do,do,0,58.95,59.0
you,you,59.0,59.14,PRP,prettymouth,you,you,0,59.0,59.14
think,think,59.14,59.55,VB,prettymouth,think,think,0,59.14,59.55
The,the,60.56,60.650000000000006,DT,prettymouth,the,the,0,60.56,60.650000000000006
gray,gray,60.65,60.89,NN,prettymouth,gray,gray,0,60.65,60.89
haired,haired,60.89,61.12,VBD,prettymouth,haired,haired,0,60.89,61.12
man,man,61.12,61.39,NN,prettymouth,man,man,0,61.12,61.39
said,said,61.39,61.66,VBD,prettymouth,said,said,0,61.39,61.66
he,he,61.67,61.86,PRP,prettymouth,he,he,0,61.67,61.86
didn't,didn't,62.07,62.38,VBD,prettymouth,didn't,didn't,0,62.07,62.38
see,see,62.38,62.690000000000005,VB,prettymouth,see,see,0,62.38,62.690000000000005
that,that,62.69,62.85,IN,prettymouth,that,that,0,62.69,62.85
it,it,62.849999,63.019999,PRP,prettymouth,it,it,0,62.849999,63.019999
made,made,63.3,63.58,VBD,prettymouth,made,made,0,63.3,63.58
a,a,63.58,63.67,DT,prettymouth,a,a,0,63.58,63.67
hell,hell,63.67,63.89,NN,prettymouth,hell,hell,0,63.67,63.89
of,of,63.889999,63.999999,IN,prettymouth,of,of,0,63.889999,63.999999
a,a,64.0,64.1,DT,prettymouth,a,a,0,64.0,64.1
lot,lot,64.2,64.49000000000001,NN,prettymouth,lot,lot,0,64.2,64.49000000000001
of,of,64.49,64.64999999999999,IN,prettymouth,of,of,0,64.49,64.64999999999999
difference,difference,64.65,65.17,NN,prettymouth,difference,difference,0,64.65,65.17
one,one,65.17,65.35000000000001,CD,prettymouth,one,one,0,65.17,65.35000000000001
way,way,65.349999,65.47999899999999,NN,prettymouth,way,way,0,65.349999,65.47999899999999
or,or,65.48,65.56,CC,prettymouth,or,or,0,65.48,65.56
the,the,65.559999,65.689999,DT,prettymouth,the,the,0,65.559999,65.689999
other,other,65.69,66.0,JJ,prettymouth,other,other,0,65.69,66.0
and,and,66.46000000000001,66.61000000000001,CC,prettymouth,and,and,0,66.46000000000001,66.61000000000001
slipped,slipped,66.61,66.91,VBD,prettymouth,slipped,slipped,0,66.61,66.91
his,his,66.91,67.09,PRP$,prettymouth,his,his,0,66.91,67.09
left,left,67.09,67.36,JJ,prettymouth,left,left,0,67.09,67.36
hand,hand,67.36,67.64,NN,prettymouth,hand,hand,0,67.36,67.64
under,under,67.65,67.86,IN,prettymouth,under,under,0,67.65,67.86
the,the,67.86,67.92,DT,prettymouth,the,the,0,67.86,67.92
girl's,girl's,67.92,68.18,NN,prettymouth,girl's,girl's,0,67.92,68.18
supporting,supporting,68.19,68.64999999999999,VBG,prettymouth,supporting,supporting,0,68.19,68.64999999999999
arm,arm,68.67,69.07000000000001,NN,prettymouth,arm,arm,0,68.67,69.07000000000001
above,above,69.349999,69.61999899999999,IN,prettymouth,above,above,0,69.349999,69.61999899999999
the,the,69.62,69.74000000000001,DT,prettymouth,the,the,0,69.62,69.74000000000001
elbow,elbow,69.74,70.16,NN,prettymouth,elbow,elbow,0,69.74,70.16
working,working,70.41,70.77,VBG,prettymouth,working,working,0,70.41,70.77
his,his,70.77,70.92999999999999,PRP$,prettymouth,his,his,0,70.77,70.92999999999999
fingers,fingers,70.93,71.29,NNS,prettymouth,finger,fingers,0,70.93,71.29
up,up,71.289999,71.47999899999999,RP,prettymouth,up,up,0,71.289999,71.47999899999999
making,making,71.51,71.93,VBG,prettymouth,making,making,0,71.51,71.93
room,room,71.93,72.21000000000001,NN,prettymouth,room,room,0,71.93,72.21000000000001
for,for,72.209999,72.379999,IN,prettymouth,for,for,0,72.209999,72.379999
them,them,72.38,72.6,PRP,prettymouth,them,them,0,72.38,72.6
between,between,72.6,73.13,IN,prettymouth,between,between,0,72.6,73.13
the,the,73.32,73.44999999999999,DT,prettymouth,the,the,0,73.32,73.44999999999999
warm,warm,73.45,73.75,JJ,prettymouth,warm,warm,0,73.45,73.75
surfaces,surfaces,73.75,74.31,NNS,prettymouth,surface,surfaces,0,73.75,74.31
of,of,74.31,74.44,IN,prettymouth,of,of,0,74.31,74.44
her,her,74.44,74.66,PRP$,prettymouth,her,her,0,74.44,74.66
upper,upper,74.72,75.01,JJ,prettymouth,upper,upper,0,74.72,75.01
arm,arm,75.03,75.33,NN,prettymouth,arm,arm,0,75.03,75.33
and,and,75.33,75.44,CC,prettymouth,and,and,0,75.33,75.44
chest,chest,75.44,75.78999999999999,NN,prettymouth,chest,chest,0,75.44,75.78999999999999
wall,wall,75.79,76.36,NN,prettymouth,wall,wall,0,75.79,76.36
He,he,76.92,77.06,PRP,prettymouth,he,he,0,76.92,77.06
reached,reached,77.06,77.32000000000001,VBD,prettymouth,reached,reached,0,77.06,77.32000000000001
for,for,77.32,77.44,IN,prettymouth,for,for,0,77.32,77.44
the,the,77.44,77.53999999999999,DT,prettymouth,the,the,0,77.44,77.53999999999999
phone,phone,77.54,78.04,NN,prettymouth,phone,phone,0,77.54,78.04
with,with,78.09,78.26,IN,prettymouth,with,with,0,78.09,78.26
his,his,78.26,78.43,PRP$,prettymouth,his,his,0,78.26,78.43
right,right,78.43,78.66000000000001,JJ,prettymouth,right,right,0,78.43,78.66000000000001
hand,hand,78.66,79.0,NN,prettymouth,hand,hand,0,78.66,79.0
Hello,hello,79.96,80.41,NN,prettymouth,hello,hello,0,79.96,80.41
he,he,81.28,81.42,PRP,prettymouth,he,he,0,81.28,81.42
said,said,81.42,81.63,VBD,prettymouth,said,said,0,81.42,81.63
resonantly,<unk>,81.639999,82.489999,RB,prettymouth,resonantly,resonantly,0,81.639999,82.489999
into,into,82.5,82.72,IN,prettymouth,into,into,0,82.5,82.72
the,the,82.719999,82.819999,DT,prettymouth,the,the,0,82.719999,82.819999
phone,phone,82.82,83.21,NN,prettymouth,phone,phone,0,82.82,83.21
The,the,83.82,83.91999999999999,DT,prettymouth,the,the,0,83.82,83.91999999999999
girl,girl,83.92,84.15,NN,prettymouth,girl,girl,0,83.92,84.15
stayed,stayed,84.179999,84.52999899999999,VBD,prettymouth,stayed,stayed,0,84.179999,84.52999899999999
propped,propped,84.559999,84.92999900000001,VBN,prettymouth,propped,propped,0,84.559999,84.92999900000001
up,up,84.929999,85.099999,RP,prettymouth,up,up,0,84.929999,85.099999
on,on,85.099999,85.209999,IN,prettymouth,on,on,0,85.099999,85.209999
her,her,85.21000000000001,85.33000000000001,PRP$,prettymouth,her,her,0,85.21000000000001,85.33000000000001
forearm,forearm,85.33,85.88,NN,prettymouth,forearm,forearm,0,85.33,85.88
and,and,85.88,86.1,CC,prettymouth,and,and,0,85.88,86.1
watched,watched,86.13,86.55,VBD,prettymouth,watched,watched,0,86.13,86.55
him,him,86.549999,86.749999,PRP,prettymouth,him,him,0,86.549999,86.749999
Her,her,87.53999999999999,87.74,PRP$,prettymouth,her,her,0,87.53999999999999,87.74
eyes,eyes,87.74,88.17999999999999,NNS,prettymouth,eye,eyes,0,87.74,88.17999999999999
more,more,88.19999899999999,88.539999,RBR,prettymouth,more,more,0,88.19999899999999,88.539999
just,just,88.619999,88.949999,RB,prettymouth,just,just,0,88.619999,88.949999
open,open,88.959999,89.359999,VB,prettymouth,open,open,0,88.959999,89.359999
than,than,89.359999,89.489999,IN,prettymouth,than,than,0,89.359999,89.489999
alert,alert,89.49,89.83999999999999,NN,prettymouth,alert,alert,0,89.49,89.83999999999999
or,or,89.84,89.9,CC,prettymouth,or,or,0,89.84,89.9
speculative,speculative,89.9,90.63,JJ,prettymouth,speculative,speculative,0,89.9,90.63
reflected,reflected,90.85,91.34,VBN,prettymouth,reflected,reflected,0,90.85,91.34
chiefly,<unk>,91.35,91.73,VBP,prettymouth,chiefly,chiefly,0,91.35,91.73
their,their,91.75,91.91,PRP$,prettymouth,their,their,0,91.75,91.91
own,own,91.91,92.11,JJ,prettymouth,own,own,0,91.91,92.11
size,size,92.11,92.46,NN,prettymouth,size,size,0,92.11,92.46
and,and,92.46,92.62,CC,prettymouth,and,and,0,92.46,92.62
color,color,92.62,92.95,NN,prettymouth,color,color,0,92.62,92.95
A,a,94.47,94.56,DT,prettymouth,a,a,0,94.47,94.56
man's,man's,94.56,94.86,JJ,prettymouth,man's,man's,0,94.56,94.86
voice,voice,94.86,95.35,NN,prettymouth,voice,voice,0,94.86,95.35
stone,stone,95.36,95.89,NN,prettymouth,stone,stone,0,95.36,95.89
dead,dead,95.89,96.24,JJ,prettymouth,dead,dead,0,95.89,96.24
yet,yet,96.24,96.57,RB,prettymouth,yet,yet,0,96.24,96.57
somehow,somehow,96.61,97.08,VBP,prettymouth,somehow,somehow,0,96.61,97.08
rudely,rudely,97.08,97.55,RB,prettymouth,rudely,rudely,0,97.08,97.55
almost,almost,97.55,97.89,RB,prettymouth,almost,almost,0,97.55,97.89
obscenely,obscenely,97.92,98.47,RB,prettymouth,obscenely,obscenely,0,97.92,98.47
quickened,<unk>,98.5,98.86,VBN,prettymouth,quickened,quickened,0,98.5,98.86
for,for,98.88,99.01,IN,prettymouth,for,for,0,98.88,99.01
the,the,99.01,99.12,DT,prettymouth,the,the,0,99.01,99.12
occasion,occasion,99.12,99.57,NN,prettymouth,occasion,occasion,0,99.12,99.57
came,came,99.57,99.79,VBD,prettymouth,came,came,0,99.57,99.79
through,through,99.79,100.0,IN,prettymouth,through,through,0,99.79,100.0
at,at,100.0,100.1,IN,prettymouth,at,at,0,100.0,100.1
the,the,100.099999,100.209999,DT,prettymouth,the,the,0,100.099999,100.209999
other,other,100.21,100.42,JJ,prettymouth,other,other,0,100.21,100.42
end,end,100.42,100.67,NN,prettymouth,end,end,0,100.42,100.67
Lee,lee,101.139999,101.449999,NN,prettymouth,lee,lee,0,101.139999,101.449999
Did,did,101.719999,101.869999,VBD,prettymouth,did,did,0,101.719999,101.869999
I,i,101.87,101.94,VB,prettymouth,i,i,0,101.87,101.94
wake,wake,101.96,102.16,NN,prettymouth,wake,wake,0,101.96,102.16
you,you,102.16,102.35,PRP,prettymouth,you,you,0,102.16,102.35
The,the,103.32,103.41,DT,prettymouth,the,the,0,103.32,103.41
gray,gray,103.41,103.64,JJ,prettymouth,gray,gray,0,103.41,103.64
haired,haired,103.639999,103.889999,JJ,prettymouth,haired,haired,0,103.639999,103.889999
man,man,103.889999,104.249999,NN,prettymouth,man,man,0,103.889999,104.249999
glanced,glanced,104.509999,104.939999,VBD,prettymouth,glanced,glanced,0,104.509999,104.939999
briefly,briefly,104.95,105.38,NN,prettymouth,briefly,briefly,0,104.95,105.38
left,left,105.38,105.67,VBD,prettymouth,left,left,0,105.38,105.67
at,at,105.67,105.77,IN,prettymouth,at,at,0,105.67,105.77
the,the,105.77,105.83,DT,prettymouth,the,the,0,105.77,105.83
girl,girl,105.83,106.14,NN,prettymouth,girl,girl,0,105.83,106.14
Who's,who's,106.529999,106.759999,NN,prettymouth,who's,who's,0,106.529999,106.759999
that,that,106.76,107.04,IN,prettymouth,that,that,0,106.76,107.04
he,he,107.34,107.52,PRP,prettymouth,he,he,0,107.34,107.52
asked,asked,107.52,107.8,VBD,prettymouth,asked,asked,0,107.52,107.8
Arthur,arthur,108.42,109.1,RP,prettymouth,arthur,arthur,0,108.42,109.1
Y,y,109.11,109.13,JJ,prettymouth,y,y,0,109.11,109.13
yeah,yeah,109.59,110.05,NN,prettymouth,yeah,yeah,0,109.59,110.05
I,i,110.05,110.16,NNS,prettymouth,i,i,0,110.05,110.16
wake,wake,110.16,110.38,VBP,prettymouth,wake,wake,0,110.16,110.38
you,you,110.38,110.55,PRP,prettymouth,you,you,0,110.38,110.55
No,no,110.94,111.32,DT,prettymouth,no,no,0,110.94,111.32
no,no,111.59,111.94,DT,prettymouth,no,no,0,111.59,111.94
I'm,i'm,111.94,112.09,NN,prettymouth,i'm,i'm,0,111.94,112.09
in,in,112.09,112.21,IN,prettymouth,in,in,0,112.09,112.21
bed,bed,112.21,112.5,NN,prettymouth,bed,bed,0,112.21,112.5
reading,reading,112.5,112.83,NN,prettymouth,reading,reading,0,112.5,112.83
Anything,anything,113.51,113.88,NN,prettymouth,anything,anything,0,113.51,113.88
wrong,wrong,113.88,114.23,JJ,prettymouth,wrong,wrong,0,113.88,114.23
The,the,115.09,115.28,DT,prettymouth,the,the,0,115.09,115.28
reason,reason,115.28,115.54,NN,prettymouth,reason,reason,0,115.28,115.54
I,i,115.54,115.6,NN,prettymouth,i,i,0,115.54,115.6
called,called,115.6,115.94,VBD,prettymouth,called,called,0,115.6,115.94
Lee,lee,115.94,116.32,NN,prettymouth,lee,lee,0,115.94,116.32
did,did,116.92,117.15,VBD,prettymouth,did,did,0,116.92,117.15
you,you,117.15,117.23,PRP,prettymouth,you,you,0,117.15,117.23
happen,happen,117.24,117.44,VB,prettymouth,happen,happen,0,117.24,117.44
to,to,117.44,117.51,TO,prettymouth,to,to,0,117.44,117.51
notice,notice,117.51,117.8,VB,prettymouth,notice,notice,0,117.51,117.8
when,when,117.8,117.96,WRB,prettymouth,when,when,0,117.8,117.96
Joanie,<unk>,117.969999,118.289999,NN,prettymouth,joanie,joanie,0,117.969999,118.289999
was,was,118.29,118.47,VBD,prettymouth,wa,was,0,118.29,118.47
leaving,leaving,118.469999,118.879999,VBG,prettymouth,leaving,leaving,0,118.469999,118.879999
Did,did,119.15,119.4,VBD,prettymouth,did,did,0,119.15,119.4
you,you,119.4,119.47,PRP,prettymouth,you,you,0,119.4,119.47
happen,happen,119.48,119.68,VB,prettymouth,happen,happen,0,119.48,119.68
to,to,119.679999,119.759999,TO,prettymouth,to,to,0,119.679999,119.759999
notice,notice,119.759999,120.089999,VB,prettymouth,notice,notice,0,119.759999,120.089999
if,if,120.09,120.21,IN,prettymouth,if,if,0,120.09,120.21
she,she,120.21,120.57,PRP,prettymouth,she,she,0,120.21,120.57
left,left,120.58,120.89,VBD,prettymouth,left,left,0,120.58,120.89
with,with,120.889999,120.989999,IN,prettymouth,with,with,0,120.889999,120.989999
the,the,120.99,121.13,DT,prettymouth,the,the,0,120.99,121.13
Ellenbogens,<unk>,121.139999,121.759999,NNS,prettymouth,ellenbogens,ellenbogens,0,121.139999,121.759999
by,by,121.79,121.98,IN,prettymouth,by,by,0,121.79,121.98
any,any,121.98,122.14,DT,prettymouth,any,any,0,121.98,122.14
chance,chance,122.139999,122.539999,NN,prettymouth,chance,chance,0,122.139999,122.539999
The,the,123.309999,123.409999,DT,prettymouth,the,the,0,123.309999,123.409999
gray,gray,123.41,123.63,JJ,prettymouth,gray,gray,0,123.41,123.63
haired,haired,123.63,123.84,JJ,prettymouth,haired,haired,0,123.63,123.84
man,man,123.839999,124.069999,NN,prettymouth,man,man,0,123.839999,124.069999
looked,looked,124.08,124.32,VBD,prettymouth,looked,looked,0,124.08,124.32
left,left,124.33,124.65,JJ,prettymouth,left,left,0,124.33,124.65
again,again,124.65,124.98,RB,prettymouth,again,again,0,124.65,124.98
but,but,125.549999,125.719999,CC,prettymouth,but,but,0,125.549999,125.719999
high,high,125.719999,125.989999,VB,prettymouth,high,high,0,125.719999,125.989999
this,this,125.99,126.22,DT,prettymouth,this,this,0,125.99,126.22
time,time,126.25,126.5,NN,prettymouth,time,time,0,126.25,126.5
away,away,126.5,126.75,RB,prettymouth,away,away,0,126.5,126.75
from,from,126.75,126.91,IN,prettymouth,from,from,0,126.75,126.91
the,the,126.91,127.0,DT,prettymouth,the,the,0,126.91,127.0
girl,girl,127.0,127.29,NN,prettymouth,girl,girl,0,127.0,127.29
who,who,127.32,127.45,WP,prettymouth,who,who,0,127.32,127.45
was,was,127.459999,127.649999,VBD,prettymouth,wa,was,0,127.459999,127.649999
now,now,127.65,127.88,RB,prettymouth,now,now,0,127.65,127.88
watching,watching,127.88,128.29,VBG,prettymouth,watching,watching,0,127.88,128.29
him,him,128.29,128.44,PRP,prettymouth,him,him,0,128.29,128.44
rather,rather,128.44,128.71,RB,prettymouth,rather,rather,0,128.44,128.71
like,like,128.71,128.86,IN,prettymouth,like,like,0,128.71,128.86
a,a,128.86,128.95000000000002,DT,prettymouth,a,a,0,128.86,128.95000000000002
young,young,128.95,129.32,JJ,prettymouth,young,young,0,128.95,129.32
blue,blue,129.33,129.62,NN,prettymouth,blue,blue,0,129.33,129.62
eyed,eyed,129.62,129.8,VBD,prettymouth,eyed,eyed,0,129.62,129.8
Irish,irish,129.81,130.16,JJ,prettymouth,irish,irish,0,129.81,130.16
policeman,policeman,130.16,130.67,NN,prettymouth,policeman,policeman,0,130.16,130.67
No,no,131.68,132.1,DT,prettymouth,no,no,0,131.68,132.1
I,i,132.1,132.22,NN,prettymouth,i,i,0,132.1,132.22
didn't,didn't,132.22,132.52,VBP,prettymouth,didn't,didn't,0,132.22,132.52
Arthur,arthur,132.52,132.92000000000002,NN,prettymouth,arthur,arthur,0,132.52,132.92000000000002
he,he,133.44,133.6,PRP,prettymouth,he,he,0,133.44,133.6
said,said,133.6,133.91,VBD,prettymouth,said,said,0,133.6,133.91
his,his,134.36,134.55,PRP$,prettymouth,his,his,0,134.36,134.55
eyes,eyes,134.55,134.81,NNS,prettymouth,eye,eyes,0,134.55,134.81
on,on,134.809999,134.88999900000002,IN,prettymouth,on,on,0,134.809999,134.88999900000002
the,the,134.889999,134.999999,DT,prettymouth,the,the,0,134.889999,134.999999
far,far,135.0,135.29,RB,prettymouth,far,far,0,135.0,135.29
dim,dim,135.29,135.61,JJ,prettymouth,dim,dim,0,135.29,135.61
end,end,135.66,135.93,NN,prettymouth,end,end,0,135.66,135.93
of,of,135.94,136.02,IN,prettymouth,of,of,0,135.94,136.02
the,the,136.02,136.10000000000002,DT,prettymouth,the,the,0,136.02,136.10000000000002
room,room,136.099999,136.459999,NN,prettymouth,room,room,0,136.099999,136.459999
where,where,136.87,137.02,WRB,prettymouth,where,where,0,136.87,137.02
the,the,137.02,137.10000000000002,DT,prettymouth,the,the,0,137.02,137.10000000000002
wall,wall,137.099999,137.349999,NN,prettymouth,wall,wall,0,137.099999,137.349999
met,met,137.349999,137.509999,VBD,prettymouth,met,met,0,137.349999,137.509999
the,the,137.509999,137.619999,DT,prettymouth,the,the,0,137.509999,137.619999
ceiling,ceiling,137.62,138.04,NN,prettymouth,ceiling,ceiling,0,137.62,138.04
Uh,uh,138.429999,138.53999900000002,NN,prettymouth,uh,uh,0,138.429999,138.53999900000002
didn't,didn't,138.559999,138.839999,NN,prettymouth,didn't,didn't,0,138.559999,138.839999
she,she,138.84,139.01,PRP,prettymouth,she,she,0,138.84,139.01
